Anho,Ciclo,Idalumno,Cod.Car.Sec,Avandono,CantidadMaterias
2017,2,1171,MCT-PLS13 ,0,6
2017,2,1175,MCT-PLS13 ,0,5
2016,2,1176,MCT-PLS13 ,1,6
2017,2,1176,MCT-PLS13 ,0,4
2017,2,1178,CIV-PLS13 ,0,3
2018,2,1179,CIV-PLS13 ,1,6
2020,1,1179,CIV-PLS13 ,0,7
2021,1,1179,CIV-PLS13 ,0,8
2021,2,1179,CIV-PLS13 ,0,5
2022,1,1179,CIV-PLS13 ,0,5
2022,2,1179,CIV-PLS13 ,0,8
2021,1,1180,CGF-PLS13 ,0,4
2022,2,1180,CGF-PLS13 ,1,1
2016,2,1183,ECA-PLS13 ,0,5
2016,2,1184,MCT-PLS13 ,0,5
2017,2,1187,CIV-PLS13 ,0,7
2018,1,1187,CIV-PLS13 ,0,5
2018,2,1187,CIV-PLS13 ,0,5
2017,2,1189,CIV-PLS13 ,0,6
2016,2,1193,ELE-PLS13 ,0,4
2017,2,1193,ELE-PLS13 ,0,6
2016,2,1197,MCT-PLS13 ,0,5
2017,2,1199,MEC-PLS13 ,0,6
2018,1,1199,MEC-PLS13 ,0,4
2018,2,1199,MEC-PLS13 ,0,7
2019,1,1199,MEC-PLS13 ,0,5
2021,2,1201,MCT-PLS13 ,1,5
2022,1,1201,MCT-PLS13 ,0,5
2018,2,1206,ELE-PLS13 ,0,5
2018,2,1208,MCT-PLS13 ,0,5
2016,2,1212,CIV-PLS13 ,0,6
2017,2,1218,CIV-PLS13 ,0,4
2016,2,1219,MCT-PLS13 ,0,6
2017,2,1219,MCT-PLS13 ,1,7
2018,1,1219,ECA-PLS13 ,1,7
2019,1,1219,ECA-PLS13 ,1,6
2019,2,1219,ECA-PLS13 ,1,6
2020,1,1219,MCT-PLS13 ,1,7
2021,2,1219,ECA-PLS13 ,1,7
2022,1,1219,MCT-PLS13 ,0,6
2022,2,1219,MCT-PLS13 ,1,5
2018,2,1221,ELE-PLS13 ,0,5
2019,2,1224,IND-PLS13 ,0,5
2020,1,1224,IND-PLS13 ,0,5
2021,1,1224,IND-PLS13 ,0,5
2021,2,1224,IND-PLS13 ,0,6
2022,1,1224,IND-PLS13 ,0,4
2022,2,1224,IND-PLS13 ,0,4
2017,2,1225,CIV-PLS13 ,0,5
2019,2,1225,CIV-PLS13 ,0,4
2016,2,1228,ELE-PLS13 ,0,3
2017,2,1230,CIV-PLS13 ,1,3
2018,2,1230,CIV-PLS13 ,1,5
2021,2,1230,CIV-PLS13 ,1,7
2022,2,1230,CIV-PLS13 ,1,7
2018,2,1233,CIV-PLS13 ,0,6
2016,2,1235,MCT-PLS13 ,0,6
2017,2,1235,MCT-PLS13 ,0,4
2017,2,1236,IND-PLS13 ,1,4
2017,2,1237,CIV-PLS13 ,0,6
2018,2,1237,CIV-PLS13 ,0,5
2022,2,1239,ELE-PLS13 ,1,3
2016,2,1241,ELE-PLS13 ,0,4
2017,2,1241,ELE-PLS13 ,0,5
2021,2,1243,IND-PLS13 ,1,5
2022,1,1243,IND-PLS13 ,0,5
2022,2,1243,IND-PLS13 ,0,3
2016,2,1245,ELE-PLS13 ,0,5
2017,2,1246,ELE-PLS13 ,0,5
2022,1,1249,MCT-PLS13 ,0,4
2017,2,1250,ELE-PLS13 ,0,5
2018,1,1250,ELE-PLS13 ,0,4
2016,2,1251,CIV-PLS13 ,0,6
2019,1,1254,CIV-PLS13 ,0,7
2019,2,1254,ELE-PLS13 ,0,6
2018,2,1256,MEC-PLS13 ,0,5
2016,2,1258,MCT-PLS13 ,0,5
2017,2,1259,IND-PLS13 ,0,5
2018,2,1261,CIV-PLS13 ,0,6
2019,1,1261,CIV-PLS13 ,0,4
2017,2,1262,CGF-PLS13 ,1,8
2018,1,1262,CGF-PLS13 ,1,8
2018,2,1262,CGF-PLS13 ,0,7
2021,1,1266,CGF-PLS13 ,0,8
2021,2,1266,CGF-PLS13 ,0,8
2016,2,1268,ELE-PLS13 ,0,5
2016,2,1269,CIV-PLS13 ,0,3
2016,2,1271,ELE-PLS13 ,0,5
2018,2,1277,CGF-PLS13 ,0,6
2017,2,1278,MEC-PLS13 ,0,4
2018,2,1278,MEC-PLS13 ,1,4
2019,2,1278,MEC-PLS13 ,1,3
2021,1,1278,MEC-PLS13 ,1,6
2021,2,1278,MEC-PLS13 ,0,6
2022,1,1278,MEC-PLS13 ,0,5
2022,2,1278,IND-PLS13 ,0,6
2017,2,1283,ELE-PLS13 ,1,4
2018,2,1283,ELE-PLS13 ,1,6
2021,1,1283,ELE-PLS13 ,1,5
2021,2,1283,ELE-PLS13 ,1,6
2022,1,1283,ELE-PLS13 ,0,5
2018,2,1284,CIV-PLS13 ,0,6
2019,1,1284,CIV-PLS13 ,0,6
2017,2,1285,CIV-PLS13 ,0,4
2022,2,1289,CGF-PLS13 ,0,4
2017,2,1290,ELE-PLS13 ,0,5
2017,2,1291,ELE-PLS13 ,0,4
2018,2,1291,ELE-PLS13 ,0,4
2016,2,1293,CIV-PLS13 ,0,6
2016,2,1294,CIV-PLS13 ,0,6
2017,2,1295,MCT-PLS13 ,0,5
2017,2,1297,CIV-PLS13 ,0,6
2022,2,1298,MCT-PLS13 ,1,5
2019,2,1300,CIV-PLS13 ,0,6
2017,2,1301,IND-PLS13 ,0,5
2016,2,1303,CIV-PLS13 ,0,6
2022,2,1307,CIV-PLS13 ,1,5
2021,2,1309,CGF-PLS13 ,1,7
2022,1,1309,CGF-PLS13 ,0,8
2022,2,1309,CGF-PLS13 ,1,6
2016,2,1311,MCT-PLS13 ,0,5
2018,2,1312,CIV-PLS13 ,0,6
2020,1,1315,CIV-PLS13 ,0,4
2022,1,1316,ELE-PLS13 ,0,3
2021,2,1317,CIV-PLS13 ,1,7
2022,2,1317,CIV-PLS13 ,0,7
2017,2,1318,CIV-PLS13 ,0,6
2017,2,1320,MEC-PLS13 ,0,6
2017,2,1327,MEC-PLS13 ,0,7
2018,1,1327,MEC-PLS13 ,0,7
2016,2,1328,ELE-PLS13 ,1,3
2017,2,1328,ELE-PLS13 ,1,6
2018,1,1328,ELE-PLS13 ,1,3
2018,2,1328,ELE-PLS13 ,0,4
2019,1,1328,ELE-PLS13 ,0,7
2019,1,1330,MEC-PLS13 ,0,8
2016,2,1331,ELE-PLS13 ,0,5
2017,2,1331,ELE-PLS13 ,1,6
2017,2,1332,MEC-PLS13 ,0,4
2018,2,1332,MEC-PLS13 ,0,6
2019,1,1332,MEC-PLS13 ,0,5
2019,2,1332,MEC-PLS13 ,0,8
2020,1,1332,MEC-PLS13 ,0,7
2021,1,1332,MEC-PLS13 ,0,8
2021,2,1332,MEC-PLS13 ,0,8
2021,1,1333,CIV-PLS13 ,1,3
2021,2,1333,CIV-PLS13 ,1,6
2022,1,1333,CIV-PLS13 ,1,3
2022,2,1333,CIV-PLS13 ,1,5
2017,2,1336,CIV-PLS13 ,0,6
2017,2,1337,CIV-PLS13 ,0,3
2017,2,1338,CIV-PLS13 ,0,3
2018,2,1342,CIV-PLS13 ,0,6
2016,2,1346,ECA-PLS13 ,1,6
2017,2,1346,ECA-PLS13 ,0,6
2018,1,1346,ECA-PLS13 ,0,6
2018,2,1347,CIV-PLS13 ,1,5
2020,1,1347,CIV-PLS13 ,0,3
2021,1,1347,CIV-PLS13 ,1,4
2018,2,1348,CIV-PLS13 ,0,6
2018,2,1349,ELE-PLS13 ,1,7
2019,1,1349,ELE-PLS13 ,1,5
2019,2,1349,ELE-PLS13 ,1,7
2020,1,1349,ELE-PLS13 ,0,4
2021,1,1349,ELE-PLS13 ,0,6
2021,2,1349,ELE-PLS13 ,0,7
2022,1,1349,ELE-PLS13 ,0,7
2022,2,1349,ELE-PLS13 ,1,3
2022,2,1350,ELE-PLS13 ,1,5
2016,2,1352,CIV-PLS13 ,1,5
2017,2,1352,CIV-PLS13 ,0,4
2018,1,1352,CIV-PLS13 ,0,7
2018,2,1352,CIV-PLS13 ,0,8
2019,1,1352,CIV-PLS13 ,1,5
2019,2,1352,CIV-PLS13 ,1,8
2020,1,1352,CIV-PLS13 ,1,6
2021,1,1352,CIV-PLS13 ,0,5
2018,2,1353,IND-PLS13 ,0,6
2019,1,1353,IND-PLS13 ,0,3
2021,1,1355,CIV-PLS13 ,0,4
2016,2,1356,MCT-PLS13 ,0,5
2017,2,1356,MCT-PLS13 ,0,6
2021,2,1359,CIV-PLS13 ,1,5
2022,1,1359,CIV-PLS13 ,0,5
2016,2,1361,MCT-PLS13 ,0,4
2019,2,1366,ELE-PLS13 ,0,5
2020,1,1366,ELE-PLS13 ,0,5
2021,1,1366,ELE-PLS13 ,0,3
2018,2,1367,MCT-PLS13 ,1,2
2020,1,1367,MCT-PLS13 ,1,5
2021,1,1367,MCT-PLS13 ,0,5
2021,2,1367,MCT-PLS13 ,0,8
2017,2,1369,ELE-PLS13 ,0,5
2018,1,1369,ELE-PLS13 ,0,6
2017,2,1371,ELE-PLS13 ,0,4
2021,1,1373,CIV-PLS13 ,1,7
2021,2,1373,CIV-PLS13 ,0,6
2022,1,1373,CIV-PLS13 ,0,7
2022,2,1373,CIV-PLS13 ,0,8
2016,2,1374,MCT-PLS13 ,0,7
2017,2,1377,CIV-PLS13 ,0,6
2018,1,1377,CIV-PLS13 ,0,6
2018,2,1377,CIV-PLS13 ,0,5
2016,2,1378,ELE-PLS13 ,0,6
2017,2,1378,ELE-PLS13 ,0,4
2018,1,1378,ELE-PLS13 ,1,4
2018,2,1378,ELE-PLS13 ,0,7
2019,1,1378,ELE-PLS13 ,0,4
2017,2,1379,IND-PLS13 ,0,5
2018,1,1379,IND-PLS13 ,0,5
2016,2,1381,CIV-PLS13 ,0,3
2017,2,1381,MCT-PLS13 ,0,2
2018,1,1381,MCT-PLS13 ,0,7
2018,2,1381,MCT-PLS13 ,0,5
2019,1,1381,MCT-PLS13 ,0,8
2016,2,1383,CIV-PLS13 ,1,6
2017,2,1383,CIV-PLS13 ,0,3
2021,2,1386,CGF-PLS13 ,1,6
2022,1,1386,CGF-PLS13 ,0,5
2022,2,1386,CGF-PLS13 ,0,6
2021,1,1389,ELE-PLS13 ,1,5
2021,2,1389,ELE-PLS13 ,1,5
2022,2,1389,ELE-PLS13 ,1,4
2017,2,1390,CIV-PLS13 ,0,6
2018,2,1391,CGF-PLS13 ,0,6
2019,1,1391,CGF-PLS13 ,0,6
2017,2,1393,MCT-PLS13 ,0,5
2016,2,1394,ELE-PLS13 ,0,5
2021,2,1396,ELE-PLS13 ,0,7
2022,1,1396,ELE-PLS13 ,0,5
2018,2,1399,ELE-PLS13 ,0,4
2019,2,1399,ELE-PLS13 ,0,6
2022,2,1401,MEC-PLS13 ,1,3
2018,2,1410,MCT-PLS13 ,0,5
2018,2,1413,CGF-PLS13 ,0,8
2016,2,1416,CIV-PLS13 ,0,6
2017,2,1417,ECA-PLS13 ,0,5
2018,1,1417,ECA-PLS13 ,0,7
2017,2,1418,MCT-PLS13 ,0,5
2021,2,1419,ECA-PLS13 ,1,5
2022,1,1419,ECA-PLS13 ,0,6
2022,2,1419,ECA-PLS13 ,0,5
2016,2,1421,ELE-PLS13 ,0,4
2016,2,1422,CIV-PLS13 ,0,6
2018,2,1425,MCT-PLS13 ,0,2
2019,2,1425,MCT-PLS13 ,0,5
2022,1,1427,CIV-PLS13 ,0,4
2022,2,1427,CIV-PLS13 ,0,6
2017,2,1428,IND-PLS13 ,0,5
2016,2,1429,CGF-PLS13 ,0,5
2017,2,1429,CGF-PLS13 ,0,7
2017,2,1430,CIV-PLS13 ,0,3
2017,2,1431,MEC-PLS13 ,1,3
2018,2,1431,MEC-PLS13 ,1,6
2019,1,1431,MEC-PLS13 ,1,6
2019,2,1431,MEC-PLS13 ,0,5
2018,2,1436,CIV-PLS13 ,0,6
2017,2,1437,ELE-PLS13 ,0,5
2018,1,1437,ELE-PLS13 ,0,7
2018,2,1437,ELE-PLS13 ,0,6
2017,2,1438,ELE-PLS13 ,0,5
2018,2,1440,CIV-PLS13 ,0,6
2016,2,1441,MEC-PLS13 ,0,5
2017,2,1441,MEC-PLS13 ,0,8
2018,2,1441,MEC-PLS13 ,0,7
2019,2,1443,MCT-PLS13 ,0,5
2016,2,1445,ECA-PLS13 ,1,4
2017,2,1445,ECA-PLS13 ,0,5
2019,1,1445,ECA-PLS13 ,1,5
2020,1,1445,ECA-PLS13 ,0,4
2021,1,1445,ECA-PLS13 ,1,5
2022,1,1445,ECA-PLS13 ,0,4
2022,2,1445,ECA-PLS13 ,0,5
2017,2,1447,CIV-PLS13 ,0,6
2017,2,1448,ELE-PLS13 ,0,6
2017,2,1448,MCT-PLS13 ,0,6
2019,2,1449,MEC-PLS13 ,1,5
2020,1,1449,MEC-PLS13 ,1,8
2021,1,1449,MEC-PLS13 ,1,7
2021,2,1449,MEC-PLS13 ,1,4
2022,1,1449,MEC-PLS13 ,0,5
2022,2,1449,MEC-PLS13 ,1,6
2017,2,1450,MCT-PLS13 ,0,5
2019,2,1451,CIV-PLS13 ,0,6
2016,2,1452,CIV-PLS13 ,0,4
2018,2,1453,CIV-PLS13 ,0,6
2017,2,1455,CIV-PLS13 ,0,7
2019,2,1456,CIV-PLS13 ,0,6
2021,2,1457,MEC-PLS13 ,0,7
2022,2,1457,ELE-PLS13 ,1,5
2018,2,1458,CIV-PLS13 ,0,6
2021,1,1459,CIV-PLS13 ,0,7
2021,2,1459,CGF-PLS13 ,0,8
2016,2,1460,ELE-PLS13 ,0,5
2020,1,1462,ELE-PLS13 ,0,4
2021,1,1462,IND-PLS13 ,1,3
2022,1,1462,IND-PLS13 ,0,4
2022,2,1462,IND-PLS13 ,0,3
2018,2,1464,IND-PLS13 ,0,4
2016,2,1469,CIV-PLS13 ,1,5
2018,2,1469,CIV-PLS13 ,0,7
2019,1,1469,CIV-PLS13 ,0,4
2019,2,1469,CIV-PLS13 ,0,6
2017,2,1470,MCT-PLS13 ,0,6
2017,2,1471,CIV-PLS13 ,1,3
2021,1,1471,CIV-PLS13 ,0,4
2021,2,1471,CIV-PLS13 ,0,4
2022,1,1471,CIV-PLS13 ,0,6
2018,2,1472,MEC-PLS13 ,0,5
2018,2,1473,MEC-PLS13 ,1,5
2019,1,1473,MEC-PLS13 ,0,5
2021,2,1474,ELE-PLS13 ,0,5
2022,1,1474,ELE-PLS13 ,0,5
2022,2,1474,ELE-PLS13 ,0,4
2021,1,1477,ELE-PLS13 ,0,5
2021,2,1477,ELE-PLS13 ,0,6
2017,2,1478,ELE-PLS13 ,0,3
2018,1,1478,ELE-PLS13 ,0,4
2019,1,1478,ELE-PLS13 ,0,3
2019,2,1478,ELE-PLS13 ,0,6
2016,2,1480,CIV-PLS13 ,0,5
2016,2,1483,MCT-PLS13 ,0,6
2020,1,1485,MCT-PLS13 ,0,5
2018,1,1486,CIV-PLS13 ,0,4
2018,2,1486,CIV-PLS13 ,0,5
2021,2,1487,CIV-PLS13 ,1,5
2022,1,1487,CIV-PLS13 ,1,6
2017,2,1489,ECA-PLS13 ,0,5
2018,2,1490,CIV-PLS13 ,0,3
2020,1,1491,CIV-PLS13 ,0,6
2021,1,1491,CIV-PLS13 ,0,6
2021,2,1491,CIV-PLS13 ,0,7
2022,1,1491,CIV-PLS13 ,0,5
2022,2,1491,CIV-PLS13 ,0,6
2021,2,1492,CIV-PLS13 ,1,7
2022,2,1492,CIV-PLS13 ,0,7
2021,2,1493,CIV-PLS13 ,0,5
2022,1,1493,CIV-PLS13 ,0,5
2022,2,1493,CIV-PLS13 ,0,6
2021,2,1494,CIV-PLS13 ,0,5
2022,1,1494,CIV-PLS13 ,0,5
2016,2,1497,CIV-PLS13 ,0,6
2017,2,1498,IND-PLS13 ,0,5
2018,1,1498,ELE-PLS13 ,1,5
2018,2,1498,ELE-PLS13 ,1,6
2019,1,1498,ELE-PLS13 ,0,5
2019,2,1498,ELE-PLS13 ,1,6
2020,1,1498,ELE-PLS13 ,1,4
2021,1,1498,ELE-PLS13 ,1,5
2021,2,1498,ELE-PLS13 ,1,5
2022,1,1498,ELE-PLS13 ,1,4
2022,2,1498,ELE-PLS13 ,0,6
2016,2,1499,CIV-PLS13 ,0,4
2017,2,1499,CIV-PLS13 ,0,7
2018,1,1499,CGF-PLS13 ,1,4
2018,2,1499,CIV-PLS13 ,0,5
2017,2,1501,ELE-PLS13 ,1,5
2018,1,1501,ELE-PLS13 ,1,4
2018,2,1501,ELE-PLS13 ,1,4
2019,1,1501,ELE-PLS13 ,1,6
2020,1,1501,ELE-PLS13 ,1,5
2022,2,1501,ELE-PLS13 ,1,7
2019,2,1502,ELE-PLS13 ,0,7
2020,1,1502,ELE-PLS13 ,0,4
2019,1,1503,MEC-PLS13 ,1,4
2019,2,1503,MEC-PLS13 ,1,4
2020,1,1503,MEC-PLS13 ,1,4
2021,2,1505,CGF-PLS13 ,1,6
2022,1,1505,CGF-PLS13 ,1,4
2022,2,1505,CGF-PLS13 ,0,7
2017,2,1506,CIV-PLS13 ,0,6
2021,1,1509,CIV-PLS13 ,0,5
2016,2,1511,CIV-PLS13 ,0,5
2021,1,1513,ELE-PLS13 ,0,7
2021,2,1513,ELE-PLS13 ,1,6
2022,1,1513,ELE-PLS13 ,0,7
2017,2,1516,ELE-PLS13 ,0,6
2018,1,1516,ELE-PLS13 ,0,3
2017,2,1519,CIV-PLS13 ,1,6
2018,2,1519,CIV-PLS13 ,0,3
2017,2,1520,CIV-PLS13 ,1,5
2018,1,1520,CIV-PLS13 ,1,6
2018,2,1520,CIV-PLS13 ,0,4
2019,2,1521,ECA-PLS13 ,1,5
2021,1,1521,ECA-PLS13 ,1,7
2021,2,1521,ECA-PLS13 ,1,5
2022,1,1521,ECA-PLS13 ,0,4
2022,2,1521,ECA-PLS13 ,0,5
2019,2,1523,IND-PLS13 ,0,6
2016,2,1525,MCT-PLS13 ,0,5
2022,2,1529,CIV-PLS13 ,0,5
2017,2,1532,MEC-PLS13 ,0,5
2016,2,1533,MCT-PLS13 ,0,5
2017,2,1535,CIV-PLS13 ,0,6
2018,2,1535,CGF-PLS13 ,0,8
2019,1,1535,CGF-PLS13 ,0,6
2019,2,1535,CGF-PLS13 ,0,4
2020,1,1535,CGF-PLS13 ,0,8
2021,1,1535,CGF-PLS13 ,0,5
2021,2,1535,CGF-PLS13 ,1,4
2022,2,1535,CGF-PLS13 ,0,6
2020,1,1539,ELE-PLS13 ,0,4
2019,2,1540,ELE-PLS13 ,0,5
2020,1,1544,ELE-PLS13 ,0,5
2022,2,1545,CIV-PLS13 ,1,5
2016,2,1546,MCT-PLS13 ,0,6
2018,2,1548,CIV-PLS13 ,1,4
2020,1,1548,CIV-PLS13 ,0,5
2021,1,1548,CIV-PLS13 ,1,5
2021,2,1548,CIV-PLS13 ,0,7
2022,1,1548,CIV-PLS13 ,0,7
2019,2,1550,CIV-PLS13 ,0,6
2017,2,1552,MEC-PLS13 ,1,4
2021,1,1552,MEC-PLS13 ,1,6
2021,2,1552,MEC-PLS13 ,1,5
2016,2,1553,ELE-PLS13 ,0,4
2017,2,1555,IND-PLS13 ,0,5
2018,1,1555,IND-PLS13 ,0,5
2018,2,1557,CIV-PLS13 ,0,6
2016,2,1558,CIV-PLS13 ,1,6
2017,2,1558,CIV-PLS13 ,1,5
2017,2,1559,CIV-PLS13 ,0,6
2021,1,1561,CIV-PLS13 ,1,6
2017,2,1564,CIV-PLS13 ,0,5
2018,1,1564,ELE-PLS13 ,0,4
2018,2,1564,ELE-PLS13 ,0,5
2019,1,1564,ELE-PLS13 ,0,6
2019,2,1564,ELE-PLS13 ,0,5
2020,1,1564,ELE-PLS13 ,0,4
2021,1,1564,ELE-PLS13 ,1,6
2021,2,1564,ELE-PLS13 ,1,5
2022,1,1564,ELE-PLS13 ,1,5
2022,2,1564,ELE-PLS13 ,1,4
2021,2,1566,CGF-PLS13 ,1,5
2022,1,1566,CIV-PLS13 ,0,6
2018,2,1567,CIV-PLS13 ,0,4
2019,1,1567,CIV-PLS13 ,0,4
2019,2,1567,CIV-PLS13 ,0,4
2020,1,1567,CIV-PLS13 ,0,4
2016,2,1568,CIV-PLS13 ,0,6
2016,2,1569,MCT-PLS13 ,0,5
2016,2,1571,CIV-PLS13 ,0,8
2017,2,1572,IND-PLS13 ,1,5
2018,1,1572,IND-PLS13 ,1,5
2018,2,1572,IND-PLS13 ,1,5
2016,2,1575,CIV-PLS13 ,0,3
2017,2,1575,CIV-PLS13 ,0,6
2018,1,1575,CIV-PLS13 ,0,5
2018,2,1575,CIV-PLS13 ,1,6
2019,1,1575,CIV-PLS13 ,0,5
2017,2,1576,ELE-PLS13 ,0,4
2018,1,1576,ELE-PLS13 ,0,8
2019,2,1576,ELE-PLS13 ,0,8
2020,1,1576,ELE-PLS13 ,0,5
2021,1,1576,ELE-PLS13 ,0,7
2019,2,1578,ELE-PLS13 ,0,5
2020,1,1578,ELE-PLS13 ,0,5
2021,1,1578,ELE-PLS13 ,1,5
2022,1,1580,MCT-PLS13 ,1,6
2022,2,1580,MCT-PLS13 ,1,5
2018,2,1583,MCT-PLS13 ,0,5
2022,1,1584,CGF-PLS13 ,0,5
2016,2,1585,MCT-PLS13 ,0,5
2017,2,1585,MCT-PLS13 ,0,6
2021,2,1586,CGF-PLS13 ,1,2
2019,2,1587,MEC-PLS13 ,0,5
2017,2,1590,CIV-PLS13 ,0,5
2016,2,1596,MCT-PLS13 ,0,5
2017,2,1596,MCT-PLS13 ,0,6
2017,2,1597,CIV-PLS13 ,0,6
2018,1,1597,CIV-PLS13 ,0,6
2018,2,1598,CIV-PLS13 ,0,6
2017,2,1600,ELE-PLS13 ,0,5
2017,2,1601,MCT-PLS13 ,0,5
2017,2,1602,CIV-PLS13 ,0,7
2017,2,1605,CIV-PLS13 ,0,5
2018,2,1606,CIV-PLS13 ,0,6
2019,2,1607,CIV-PLS13 ,0,5
2020,1,1607,CIV-PLS13 ,0,4
2016,2,1611,CIV-PLS13 ,0,6
2019,2,1612,CIV-PLS13 ,0,6
2018,2,1613,ELE-PLS13 ,1,5
2019,1,1613,ELE-PLS13 ,0,6
2019,2,1613,ELE-PLS13 ,0,6
2022,1,1615,CIV-PLS13 ,1,6
2022,2,1615,CIV-PLS13 ,1,5
2017,2,1616,CIV-PLS13 ,0,6
2016,2,1617,CIV-PLS13 ,0,6
2017,2,1617,CIV-PLS13 ,0,4
2020,1,1618,ELE-PLS13 ,0,5
2017,2,1619,MCT-PLS13 ,0,5
2017,2,1620,ELE-PLS13 ,1,5
2018,2,1620,ELE-PLS13 ,0,3
2019,1,1620,ELE-PLS13 ,0,6
2022,2,1622,MEC-PLS13 ,0,4
2018,2,1623,CIV-PLS13 ,0,5
2019,1,1623,CIV-PLS13 ,0,4
2019,2,1623,CIV-PLS13 ,0,5
2020,1,1623,CIV-PLS13 ,0,5
2021,1,1623,CIV-PLS13 ,1,6
2021,2,1623,CIV-PLS13 ,1,7
2022,1,1623,CIV-PLS13 ,0,4
2022,2,1623,CIV-PLS13 ,0,4
2022,2,1626,MEC-PLS13 ,1,5
2021,1,1627,CIV-PLS13 ,0,6
2017,2,1629,CIV-PLS13 ,0,6
2018,2,1630,IND-PLS13 ,0,3
2018,2,1632,MCT-PLS13 ,0,5
2021,1,1633,IND-PLS13 ,1,4
2021,2,1633,IND-PLS13 ,1,4
2022,1,1633,IND-PLS13 ,1,4
2022,2,1633,IND-PLS13 ,1,3
2017,2,1634,MEC-PLS13 ,1,3
2018,1,1634,MEC-PLS13 ,1,5
2018,2,1634,MEC-PLS13 ,1,4
2019,2,1634,MEC-PLS13 ,0,6
2020,1,1634,MEC-PLS13 ,0,4
2016,2,1635,ELE-PLS13 ,0,5
2019,2,1638,CIV-PLS13 ,0,6
2021,2,1639,MCT-PLS13 ,1,5
2022,1,1639,MCT-PLS13 ,0,7
2022,2,1639,MCT-PLS13 ,0,6
2019,2,1641,CIV-PLS13 ,0,6
2021,2,1642,CIV-PLS13 ,0,5
2022,1,1642,CIV-PLS13 ,0,6
2022,2,1642,CIV-PLS13 ,1,5
2017,2,1644,MCT-PLS13 ,0,5
2021,2,1646,ECA-PLS13 ,1,6
2022,1,1646,ECA-PLS13 ,0,6
2022,2,1646,ECA-PLS13 ,0,5
2021,1,1648,MCT-PLS13 ,0,4
2021,2,1648,MCT-PLS13 ,0,6
2018,2,1649,CIV-PLS13 ,0,6
2019,2,1649,CIV-PLS13 ,0,5
2016,2,1654,MEC-PLS13 ,0,5
2017,2,1654,MEC-PLS13 ,0,4
2022,1,1656,IND-PLS13 ,0,5
2022,2,1656,IND-PLS13 ,0,4
2021,1,1659,CIV-PLS13 ,1,5
2021,2,1659,CIV-PLS13 ,0,6
2022,1,1659,CIV-PLS13 ,0,7
2022,2,1659,CIV-PLS13 ,1,7
2019,2,1661,CIV-PLS13 ,0,5
2019,1,1664,CIV-PLS13 ,0,4
2019,2,1673,IND-PLS13 ,0,6
2017,2,1674,CIV-PLS13 ,0,5
2018,1,1674,CIV-PLS13 ,0,4
2022,2,1676,CIV-PLS13 ,1,4
2017,2,1678,IND-PLS13 ,0,5
2021,2,1679,ELE-PLS13 ,1,6
2019,2,1681,IND-PLS13 ,0,4
2019,2,1682,IND-PLS13 ,0,5
2016,2,1683,MEC-PLS13 ,0,6
2017,2,1683,MEC-PLS13 ,0,5
2018,1,1683,MEC-PLS13 ,0,5
2018,2,1683,MEC-PLS13 ,0,5
2016,2,1684,ELE-PLS13 ,0,5
2017,2,1685,MCT-PLS13 ,1,6
2018,1,1685,MCT-PLS13 ,1,6
2018,2,1685,MCT-PLS13 ,0,7
2018,2,1689,MCT-PLS13 ,0,5
2018,2,1691,CIV-PLS13 ,0,6
2016,2,1692,MCT-PLS13 ,0,5
2017,2,1694,MCT-PLS13 ,0,5
2018,1,1694,MCT-PLS13 ,1,8
2018,2,1694,MCT-PLS13 ,0,6
2019,1,1694,MCT-PLS13 ,0,5
2019,2,1695,ELE-PLS13 ,0,5
2017,2,1696,ELE-PLS13 ,0,5
2018,2,1697,ELE-PLS13 ,1,5
2019,2,1697,ELE-PLS13 ,0,6
2017,2,1699,IND-PLS13 ,0,2
2016,2,1700,ELE-PLS13 ,0,6
2019,2,1701,CIV-PLS13 ,0,6
2021,1,1702,CIV-PLS13 ,0,4
2016,2,1703,CIV-PLS13 ,0,7
2017,2,1704,CIV-PLS13 ,0,7
2021,1,1706,CGF-PLS13 ,0,5
2021,2,1706,CGF-PLS13 ,0,6
2022,1,1706,CGF-PLS13 ,0,7
2019,2,1708,CIV-PLS13 ,0,6
2017,2,1712,CIV-PLS13 ,0,5
2018,1,1712,CIV-PLS13 ,0,5
2018,2,1712,CIV-PLS13 ,0,5
2019,1,1712,CIV-PLS13 ,0,6
2019,2,1712,CIV-PLS13 ,0,4
2017,2,1714,ELE-PLS13 ,0,4
2018,2,1714,ELE-PLS13 ,0,6
2019,2,1715,CGF-PLS13 ,0,7
2020,1,1715,CGF-PLS13 ,0,3
2017,2,1716,IND-PLS13 ,0,2
2018,1,1716,IND-PLS13 ,0,5
2018,2,1716,IND-PLS13 ,0,3
2017,2,1717,CGF-PLS13 ,0,6
2018,1,1717,CGF-PLS13 ,0,9
2018,2,1717,CGF-PLS13 ,0,7
2021,2,1718,IND-PLS13 ,0,6
2022,1,1718,IND-PLS13 ,0,6
2021,2,1720,CGF-PLS13 ,1,7
2022,1,1720,CGF-PLS13 ,0,6
2022,2,1720,CGF-PLS13 ,1,7
2016,2,1721,ELE-PLS13 ,0,5
2017,2,1722,CIV-PLS13 ,0,4
2019,2,1724,CIV-PLS13 ,0,4
2020,1,1724,CIV-PLS13 ,0,3
2021,2,1727,ELE-PLS13 ,1,6
2022,1,1727,ELE-PLS13 ,0,5
2022,2,1727,ELE-PLS13 ,1,4
