Anho,Ciclo,Idalumno,Cod.Car.Sec,Avandono,CantidadMaterias
2016,2,492,ELE-PLS13 ,0,4
2017,2,492,ELE-PLS13 ,0,6
2016,2,495,ECA-PLS13 ,0,7
2017,2,495,ECA-PLS13 ,0,4
2016,2,510,MCT-PLS13 ,0,6
2017,2,510,MCT-PLS13 ,0,5
2019,1,519,CGF-PLS13 ,1,5
2019,2,519,CGF-PLS13 ,1,7
2020,1,519,CGF-PLS13 ,1,8
2021,1,519,CGF-PLS13 ,1,4
2016,2,525,ELE-PLS13 ,0,5
2017,2,525,ELE-PLS13 ,0,6
2018,1,525,ELE-PLS13 ,0,7
2018,2,525,ELE-PLS13 ,0,7
2019,1,525,IND-PLS13 ,0,6
2016,2,527,ELE-PLS13 ,0,4
2018,2,527,ELE-PLS13 ,1,3
2019,2,527,ELE-PLS13 ,1,4
2021,1,527,ELE-PLS13 ,0,5
2021,2,527,ELE-PLS13 ,0,8
2022,1,527,ELE-PLS13 ,0,6
2022,2,527,ELE-PLS13 ,0,4
2019,2,535,ELE-PLS13 ,1,6
2020,1,535,ELE-PLS13 ,1,5
2016,2,537,ECA-PLS13 ,0,6
2017,2,537,ECA-PLS13 ,1,5
2019,1,537,ECA-PLS13 ,1,3
2019,2,537,ECA-PLS13 ,1,4
2016,2,538,CGF-PLS13 ,0,8
2017,2,539,CIV-PLS13 ,1,3
2018,1,539,CIV-PLS13 ,0,6
2018,2,539,CIV-PLS13 ,0,4
2016,2,543,MCT-PLS13 ,0,5
2018,2,550,CIV-PLS13 ,1,8
2019,1,550,CGF-PLS13 ,0,7
2019,2,550,CGF-PLS13 ,1,7
2020,1,550,CGF-PLS13 ,0,6
2016,2,559,CIV-PLS13 ,0,3
2017,2,561,MCT-PLS13 ,0,6
2018,1,561,CIV-PLS13 ,1,6
2018,2,561,CGF-PLS13 ,0,4
2016,2,562,MCT-PLS13 ,0,4
2017,2,562,MCT-PLS13 ,1,4
2018,1,562,MCT-PLS13 ,1,5
2018,2,562,MCT-PLS13 ,0,6
2019,2,562,CGF-PLS13 ,0,7
2020,1,562,CGF-PLS13 ,0,7
2021,1,562,CGF-PLS13 ,0,7
2021,2,562,CGF-PLS13 ,0,6
2021,2,566,CIV-PLS13 ,0,3
2016,2,573,ELE-PLS13 ,0,7
2019,2,576,CIV-PLS13 ,0,5
2016,2,578,ELE-PLS13 ,1,4
2017,2,578,ELE-PLS13 ,0,4
2017,2,581,CIV-PLS13 ,0,2
2017,2,588,CIV-PLS13 ,0,2
2018,1,588,CIV-PLS13 ,0,5
2018,2,588,CIV-PLS13 ,1,4
2020,1,588,CGF-PLS13 ,0,7
2016,2,589,ELE-PLS13 ,1,5
2017,2,589,ELE-PLS13 ,0,4
2018,2,589,ELE-PLS13 ,0,6
2019,1,589,ELE-PLS13 ,0,5
2016,2,602,CIV-PLS13 ,0,6
2021,2,603,ELE-PLS13 ,1,6
2022,1,603,ELE-PLS13 ,0,5
2022,2,603,ELE-PLS13 ,1,4
2016,2,605,ELE-PLS13 ,1,5
2017,2,608,ELE-PLS13 ,1,5
2018,2,608,ELE-PLS13 ,1,7
2019,1,608,ELE-PLS13 ,1,7
2019,2,608,ELE-PLS13 ,0,6
2020,1,608,ELE-PLS13 ,1,5
2021,1,608,ELE-PLS13 ,1,3
2021,2,608,ELE-PLS13 ,1,5
2022,1,608,ELE-PLS13 ,1,5
2022,2,608,ELE-PLS13 ,0,4
